    New chain ID            Original chain ID
           A                        8i
           B                        8j
           C                        8k
           D                        8l
           E                        8m
           F                        8n
           G                        8o
           H                        8p
           I                        8q
           J                        8r
           K                        8s
           L                        8t
           M                        8u
           N                        8v
           O                        8w
           P                        8x
           Q                        8y
           R                        8z
           S                        8A
           T                        8B
           U                        8C
           V                        8D
           W                        8E
           X                        8F
           Y                        8G
           Z                        8H
           a                        8I
           b                        8J
           c                        8K
           d                        8L
           e                        8M
           f                        8N
           g                        8O
           h                        8P
           i                        8Q
           j                        8R
           k                        8S
           l                        8T
           m                        8U
           n                        8V
           o                        8W
           p                        8X
           q                        8Y
           r                        8Z
           s                        90
           t                        91
           u                        92
           v                        93
           w                        94
           x                        95
           y                        96
           z                        97
           0                        98
           1                        99
           2                        9a

3j3q-pdb-bundle16.pdb:
           A                        9b
           B                        9c
           C                        9d
           D                        9e
           E                        9f
           F                        9g
           G                        9h
           H                        9i
           I                        9j
           J                        9k
           K                        9l
           L                        9m
           M                        9n
           N                        9o
           O                        9p
           P                        9q
           Q                        9r
           R                        9s
           S                        9t
           T                        9u
           U                        9v
           V                        9w
           W                        9x
           X                        9y
           Y                        9z
           Z                        9A
           a                        9B
           b                        9C
           c                        9D
           d                        9E
           e                        9F
           f                        9G
           g                        9H
           h                        9I
           i                        9J
           j                        9K
           k                        9L
           l                        9M
           m                        9N
           n                        9O
           o                        9P
           p                         Y
           q                        9Q
           r                        9R
           s                        9S
           t                        9T
           u                        9U
           v                        9V
           w                        9W
           x                        9X
           y                        9Y
           z                        9Z
           0                         Z
           1                        a0
           2                        a1

3j3q-pdb-bundle17.pdb:
           A                        a2
           B                        a3
           C                        a4
           D                        a5
           E                        a6
           F                        a7
           G                        a8
           H                        a9
           I                        10
           J                        aa
           K                        ab
           L                        ac
           M                        ad
           N                        ae
           O                        af
           P                        ag
           Q                        ah
           R                        ai
           S                        aj
           T                        11
           U                        ak
           V                        al
           W                        am
           X                        an
           Y                        ao
           Z                        ap
           a                        aq
           b                        ar
           c                        as
           d                        at
           e                        12
           f                        au
           g                        av
           h                        aw
           i                        ax
           j                        ay
           k                        az
           l                        aA
           m                        aB
           n                        aC
           o                        aD
           p                        13
           q                        aE
           r                        aF
           s                        aG
           t                        aH
           u                        aI
           v                        aJ
           w                        aK
           x                        aL
           y                        aM
           z                        aN
           0                        14
           1                        aO
           2                        aP

3j3q-pdb-bundle18.pdb:
           A                        aQ
           B                        aR
           C                        aS
           D                        aT
           E                        aU
           F                        aV
           G                        aW
           H                        aX
           I                        15
           J                        aY
           K                        aZ
           L                        b0
           M                        b1
           N                        b2
           O                        b3
           P                        b4
           Q                        b5
           R                        b6
           S                        b7
           T                        16
           U                        b8
           V                        b9
           W                        ba
           X                        bb
           Y                        bc
           Z                        bd
           a                        be
           b                        bf
           c                        bg
           d                        bh
           e                        17
           f                        bi
           g                        bj
           h                        bk
           i                        bl
           j                        bm
           k                        bn
           l                        bo
           m                        bp
           n                        bq
           o                        br
           p                        18
           q                        bs
           r                        bt
           s                        bu
           t                        bv
           u                        bw
           v                        bx
           w                        by
           x                        bz
           y                        bA
           z                        bB
           0                        19
           1                        bC
           2                        bD

3j3q-pdb-bundle19.pdb:
           A                        bE
           B                        bF
           C                        bG
           D                        bH
           E                        bI
           F                        bJ
           G                        bK
           H                        bL
           I                        1a
           J                        bM
           K                        bN
           L                        bO
           M                        bP
           N                        bQ
           O                        bR
           P                        bS
           Q                        bT
           R                        bU
           S                        bV
           T                        1b
           U                        bW
           V                        bX
           W                        bY
           X                        bZ
           Y                        c0
           Z                        c1
           a                        c2
           b                        c3
           c                        c4
           d                        c5
           e                        1c
           f                        c6
           g                        c7
           h                        c8
           i                        c9
           j                        ca
           k                        cb
           l                        cc
           m                        cd
           n                        ce
           o                        cf
           p                        1d
           q                        cg
           r                        ch
           s                        ci
           t                        cj
           u                        ck
           v                        cl
           w                        cm
           x                        cn
           y                        co
           z                        cp
           0                        1e
           1                        cq
           2                        cr

3j3q-pdb-bundle20.pdb:
           A                        cs
           B                        ct
           C                        cu
           D                        cv
           E                        cw
           F                        cx
           G                        cy
           H                        cz
           I                        1f
           J                        cA
           K                        cB
           L                        cC
           M                        cD
           N                        cE
           O                        cF
           P                        cG
           Q                        cH
           R                        cI
           S                        cJ
           T                        1g
           U                        cK
           V                        cL
           W                        cM
           X                        cN
           Y                        cO
           Z                        cP
           a                        cQ
           b                        cR
           c                        cS
           d                        cT
           e                        1h
           f                        cU
           g                        cV
           h                        cW
           i                        cX
           j                        cY
           k                        cZ
           l                        d0
           m                        d1
           n                        d2
           o                        d3
           p                        1i
           q                        d4
           r                        d5
           s                        d6
           t                        d7
           u                        d8
           v                        d9
           w                        da
           x                        db
           y                        dc
           z                        dd
           0                        1j
           1                        de
           2                        df

3j3q-pdb-bundle21.pdb:
           A                        dg
           B                        dh
           C                        di
           D                        dj
           E                        dk
           F                        dl
           G                        dm
           H                        dn
           I                        1k
           J                        do
           K                        dp
           L                        dq
           M                        dr
           N                        ds
           O                        dt
           P                        du
           Q                        dv
           R                        dw
           S                        dx
           T                        1l
           U                        dy
           V                        dz
           W                        dA
           X                        dB
           Y                        dC
           Z                        dD
           a                        dE
           b                        dF
           c                        dG
           d                        dH
           e                        1m
           f                        dI
           g                        dJ
           h                        dK
           i                        dL
           j                        dM
           k                        dN
           l                        dO
           m                        dP
           n                        dQ
           o                        dR
           p                        1n
           q                        dS
           r                        dT
           s                        dU
           t                        dV
           u                        dW
           v                        dX
           w                        dY
           x                        dZ
           y                        e0
           z                        e1
           0                        1o
           1                        e2
           2                        e3

3j3q-pdb-bundle22.pdb:
           A                        e4
           B                        e5
           C                        e6
           D                        e7
           E                        e8
           F                        e9
           G                        ea
           H                        eb
           I                        1p
           J                        ec
           K                        ed
           L                        ee
           M                        ef
           N                        eg
           O                        eh
           P                        ei
           Q                        ej
           R                        ek
           S                        el
           T                        1q
           U                        em
           V                        en
           W                        eo
           X                        ep
           Y                        eq
           Z                        er
           a                        es
           b                        et
           c                        eu
           d                        ev
           e                        1r
           f                        ew
           g                        ex
           h                        ey
           i                        ez
           j                        eA
           k                        eB
           l                        eC
           m                        eD
           n                        eE
           o                        eF
           p                        1s
           q                        eG
           r                        eH
           s                        eI
           t                        eJ
           u                        eK
           v                        eL
           w                        eM
           x                        eN
           y                        eO
           z                        eP
           0                        1t
           1                        eQ
           2                        eR

3j3q-pdb-bundle23.pdb:
           A                        eS
           B                        eT
           C                        eU
           D                        eV
           E                        eW
           F                        eX
           G                        eY
           H                        eZ
           I                        1u
           J                        f0
           K                        f1
           L                        f2
           M                        f3
           N                        f4
           O                        f5
           P                        f6
           Q                        f7
           R                        f8
           S                        f9
           T                        1v
           U                        fa
           V                        fb
           W                        fc
           X                        fd
           Y                        fe
           Z                        ff
           a                        fg
           b                        fh
           c                        fi
           d                        fj
           e                        1w
           f                        fk
           g                        fl
           h                        fm
           i                        fn
           j                        fo
           k                        fp
           l                        fq
           m                        fr
           n                        fs
           o                        ft
           p                        1x
           q                        fu
           r                        fv
           s                        fw
           t                        fx
           u                        fy
           v                        fz
           w                        fA
           x                        fB
           y                        fC
           z                        fD
           0                        1y
           1                        fE
           2                        fF

3j3q-pdb-bundle24.pdb:
           A                        fG
           B                        fH
           C                        fI
           D                        fJ
           E                        fK
           F                        fL
           G                        fM
           H                        fN
           I                        1z
           J                        fO
           K                        fP
           L                        fQ
           M                        fR
           N                        fS
           O                        fT
           P                        fU
           Q                        fV
           R                        fW
           S                        fX
           T                        1A
           U                        fY
           V                        fZ
           W                        g0
           X                        g1
           Y                        g2
           Z                        g3
           a                        g4
           b                        g5
           c                        g6
           d                        g7
           e                        1B
           f                         0
           g                         a
           h                         b
           i                         c
           j                         d
           k                         e
           l                         f
           m                         g
           n                         h
           o                         i
           p                         j
           q                         1
           r                         k
           s                         l
           t                         m
           u                         n
           v                         o
           w                         p
           x                         q
           y                         r
           z                         s
           0                         t
           1                         2
           2                         u

3j3q-pdb-bundle25.pdb:
           v                         v
           w                         w
           x                         x
           y                         y
           z                         z
           A                         A
           B                         B
           C                         C
           D                         D
           3                         3
           E                         E
           F                         F
           G                         G
           H                         H
           I                         I
           J                         J
           K                         K
           L                         L
           M                         M
           N                         N
           4                         4
           O                         O
           P                         P
           Q                         Q
           R                         R
           S                         S
           T                         T
           U                         U
           V                         V
           W                         W
           X                         X
           5                         5
           6                         6
           7                         7
           8                         8
           9                         9
